Timezone (use this),label,utc
Etc/GMT+12,Etc/GMT+12(UTC-12:00),UTC-12:00
Etc/GMT+11,Etc/GMT+11(UTC-11:00),UTC-11:00
Pacific/Midway,Pacific/Midway(UTC-11:00),UTC-11:00
Pacific/Niue,Pacific/Niue(UTC-11:00),UTC-11:00
Pacific/Pago_Pago,Pacific/Pago_Pago(UTC-11:00),UTC-11:00
Etc/GMT+10,Etc/GMT+10(UTC-10:00),UTC-10:00
Pacific/Honolulu,Pacific/Honolulu(UTC-10:00),UTC-10:00
Pacific/Johnston,Pacific/Johnston(UTC-10:00),UTC-10:00
Pacific/Rarotonga,Pacific/Rarotonga(UTC-10:00),UTC-10:00
Pacific/Tahiti,Pacific/Tahiti(UTC-10:00),UTC-10:00
America/Anchorage,America/Anchorage(UTC-09:00),UTC-09:00
America/Juneau,America/Juneau(UTC-09:00),UTC-09:00
America/Nome,America/Nome(UTC-09:00),UTC-09:00
America/Sitka,America/Sitka(UTC-09:00),UTC-09:00
America/Yakutat,America/Yakutat(UTC-09:00),UTC-09:00
America/Santa_Isabel,America/Santa_Isabel(UTC-08:00),UTC-08:00
America/Los_Angeles,America/Los_Angeles(UTC-07:00),UTC-07:00
America/Tijuana,America/Tijuana(UTC-07:00),UTC-07:00
America/Vancouver,America/Vancouver(UTC-07:00),UTC-07:00
America/Tijuana,America/Tijuana(UTC-08:00),UTC-08:00
America/Vancouver,America/Vancouver(UTC-08:00),UTC-08:00
America/Creston,America/Creston(UTC-07:00),UTC-07:00
America/Dawson,America/Dawson(UTC-07:00),UTC-07:00
America/Dawson_Creek,America/Dawson_Creek(UTC-07:00),UTC-07:00
America/Hermosillo,America/Hermosillo(UTC-07:00),UTC-07:00
America/Phoenix,America/Phoenix(UTC-07:00),UTC-07:00
America/Whitehorse,America/Whitehorse(UTC-07:00),UTC-07:00
Etc/GMT+7,Etc/GMT+7(UTC-07:00),UTC-07:00
America/Chihuahua,America/Chihuahua(UTC-07:00),UTC-07:00
America/Mazatlan,America/Mazatlan(UTC-07:00),UTC-07:00
America/Boise,America/Boise(UTC-07:00),UTC-07:00
America/Cambridge_Bay,America/Cambridge_Bay(UTC-07:00),UTC-07:00
America/Denver,America/Denver(UTC-07:00),UTC-07:00
America/Edmonton,America/Edmonton(UTC-07:00),UTC-07:00
America/Inuvik,America/Inuvik(UTC-07:00),UTC-07:00
America/Ojinaga,America/Ojinaga(UTC-07:00),UTC-07:00
America/Yellowknife,America/Yellowknife(UTC-07:00),UTC-07:00
America/Belize,America/Belize(UTC-06:00),UTC-06:00
America/Costa_Rica,America/Costa_Rica(UTC-06:00),UTC-06:00
America/El_Salvador,America/El_Salvador(UTC-06:00),UTC-06:00
America/Guatemala,America/Guatemala(UTC-06:00),UTC-06:00
America/Managua,America/Managua(UTC-06:00),UTC-06:00
America/Tegucigalpa,America/Tegucigalpa(UTC-06:00),UTC-06:00
Etc/GMT+6,Etc/GMT+6(UTC-06:00),UTC-06:00
Pacific/Galapagos,Pacific/Galapagos(UTC-06:00),UTC-06:00
America/Chicago,America/Chicago(UTC-06:00),UTC-06:00
America/Indiana/Knox,America/Indiana/Knox(UTC-06:00),UTC-06:00
America/Indiana/Tell_City,America/Indiana/Tell_City(UTC-06:00),UTC-06:00
America/Matamoros,America/Matamoros(UTC-06:00),UTC-06:00
America/Menominee,America/Menominee(UTC-06:00),UTC-06:00
America/North_Dakota/Beulah,America/North_Dakota/Beulah(UTC-06:00),UTC-06:00
America/North_Dakota/Center,America/North_Dakota/Center(UTC-06:00),UTC-06:00
America/North_Dakota/New_Salem,America/North_Dakota/New_Salem(UTC-06:00),UTC-06:00
America/Rainy_River,America/Rainy_River(UTC-06:00),UTC-06:00
America/Rankin_Inlet,America/Rankin_Inlet(UTC-06:00),UTC-06:00
America/Resolute,America/Resolute(UTC-06:00),UTC-06:00
America/Winnipeg,America/Winnipeg(UTC-06:00),UTC-06:00
America/Bahia_Banderas,America/Bahia_Banderas(UTC-06:00),UTC-06:00
America/Cancun,America/Cancun(UTC-06:00),UTC-06:00
America/Merida,America/Merida(UTC-06:00),UTC-06:00
America/Mexico_City,America/Mexico_City(UTC-06:00),UTC-06:00
America/Monterrey,America/Monterrey(UTC-06:00),UTC-06:00
America/Regina,America/Regina(UTC-06:00),UTC-06:00
America/Swift_Current,America/Swift_Current(UTC-06:00),UTC-06:00
America/Bogota,America/Bogota(UTC-05:00),UTC-05:00
America/Cayman,America/Cayman(UTC-05:00),UTC-05:00
America/Coral_Harbour,America/Coral_Harbour(UTC-05:00),UTC-05:00
America/Eirunepe,America/Eirunepe(UTC-05:00),UTC-05:00
America/Guayaquil,America/Guayaquil(UTC-05:00),UTC-05:00
America/Jamaica,America/Jamaica(UTC-05:00),UTC-05:00
America/Lima,America/Lima(UTC-05:00),UTC-05:00
America/Panama,America/Panama(UTC-05:00),UTC-05:00
America/Rio_Branco,America/Rio_Branco(UTC-05:00),UTC-05:00
Etc/GMT+5,Etc/GMT+5(UTC-05:00),UTC-05:00
America/Detroit,America/Detroit(UTC-05:00),UTC-05:00
America/Havana,America/Havana(UTC-05:00),UTC-05:00
America/Indiana/Petersburg,America/Indiana/Petersburg(UTC-05:00),UTC-05:00
America/Indiana/Winamac,America/Indiana/Winamac(UTC-05:00),UTC-05:00
America/Iqaluit,America/Iqaluit(UTC-05:00),UTC-05:00
America/Kentucky/Monticello,America/Kentucky/Monticello(UTC-05:00),UTC-05:00
America/Louisville,America/Louisville(UTC-05:00),UTC-05:00
America/Montreal,America/Montreal(UTC-05:00),UTC-05:00
America/Nassau,America/Nassau(UTC-05:00),UTC-05:00
America/Nipigon,America/Nipigon(UTC-05:00),UTC-05:00
America/Pangnirtung,America/Pangnirtung(UTC-05:00),UTC-05:00
America/Port-au-Prince,America/Port-au-Prince(UTC-05:00),UTC-05:00
America/Thunder_Bay,America/Thunder_Bay(UTC-05:00),UTC-05:00
America/Toronto,America/Toronto(UTC-05:00),UTC-05:00
America/Detroit,America/Detroit(UTC-04:00),UTC-04:00
America/Havana,America/Havana(UTC-04:00),UTC-04:00
America/Indiana/Petersburg,America/Indiana/Petersburg(UTC-04:00),UTC-04:00
America/Indiana/Vincennes,America/Indiana/Vincennes(UTC-04:00),UTC-04:00
America/Indiana/Winamac,America/Indiana/Winamac(UTC-04:00),UTC-04:00
America/Iqaluit,America/Iqaluit(UTC-04:00),UTC-04:00
America/Kentucky/Monticello,America/Kentucky/Monticello(UTC-04:00),UTC-04:00
America/Louisville,America/Louisville(UTC-04:00),UTC-04:00
America/Montreal,America/Montreal(UTC-04:00),UTC-04:00
America/Nassau,America/Nassau(UTC-04:00),UTC-04:00
America/New_York,America/New York(UTC-04:00),UTC-04:00
America/Nipigon,America/Nipigon(UTC-04:00),UTC-04:00
America/Pangnirtung,America/Pangnirtung(UTC-04:00),UTC-04:00
America/Port-au-Prince,America/Port-au-Prince(UTC-04:00),UTC-04:00
America/Thunder_Bay,America/Thunder_Bay(UTC-04:00),UTC-04:00
America/Toronto,America/Toronto(UTC-04:00),UTC-04:00
America/Indiana/Marengo,America/Indiana/Marengo(UTC-05:00),UTC-05:00
America/Indiana/Vevay,America/Indiana/Vevay(UTC-05:00),UTC-05:00
America/Indianapolis,America/Indianapolis(UTC-05:00),UTC-05:00
America/Caracas,America/Caracas(UTC-04:30),UTC-04:30
America/Asuncion,America/Asuncion(UTC-04:00),UTC-04:00
America/Glace_Bay,America/Glace_Bay(UTC-04:00),UTC-04:00
America/Goose_Bay,America/Goose_Bay(UTC-04:00),UTC-04:00
America/Halifax,America/Halifax(UTC-04:00),UTC-04:00
America/Moncton,America/Moncton(UTC-04:00),UTC-04:00
America/Thule,America/Thule(UTC-04:00),UTC-04:00
Atlantic/Bermuda,Atlantic/Bermuda(UTC-04:00),UTC-04:00
America/Campo_Grande,America/Campo_Grande(UTC-04:00),UTC-04:00
America/Cuiaba,America/Cuiaba(UTC-04:00),UTC-04:00
America/Anguilla,America/Anguilla(UTC-04:00),UTC-04:00
America/Antigua,America/Antigua(UTC-04:00),UTC-04:00
America/Aruba,America/Aruba(UTC-04:00),UTC-04:00
America/Barbados,America/Barbados(UTC-04:00),UTC-04:00
America/Blanc-Sablon,America/Blanc-Sablon(UTC-04:00),UTC-04:00
America/Boa_Vista,America/Boa_Vista(UTC-04:00),UTC-04:00
America/Curacao,America/Curacao(UTC-04:00),UTC-04:00
America/Dominica,America/Dominica(UTC-04:00),UTC-04:00
America/Grand_Turk,America/Grand_Turk(UTC-04:00),UTC-04:00
America/Grenada,America/Grenada(UTC-04:00),UTC-04:00
America/Guadeloupe,America/Guadeloupe(UTC-04:00),UTC-04:00
America/Guyana,America/Guyana(UTC-04:00),UTC-04:00
America/Kralendijk,America/Kralendijk(UTC-04:00),UTC-04:00
America/La_Paz,America/La_Paz(UTC-04:00),UTC-04:00
America/Lower_Princes,America/Lower_Princes(UTC-04:00),UTC-04:00
America/Manaus,America/Manaus(UTC-04:00),UTC-04:00
America/Marigot,America/Marigot(UTC-04:00),UTC-04:00
America/Martinique,America/Martinique(UTC-04:00),UTC-04:00
America/Montserrat,America/Montserrat(UTC-04:00),UTC-04:00
America/Port_of_Spain,America/Port_of_Spain(UTC-04:00),UTC-04:00
America/Porto_Velho,America/Porto_Velho(UTC-04:00),UTC-04:00
America/Puerto_Rico,America/Puerto_Rico(UTC-04:00),UTC-04:00
America/Santo_Domingo,America/Santo_Domingo(UTC-04:00),UTC-04:00
America/St_Barthelemy,America/St_Barthelemy(UTC-04:00),UTC-04:00
America/St_Kitts,America/St_Kitts(UTC-04:00),UTC-04:00
America/St_Lucia,America/St_Lucia(UTC-04:00),UTC-04:00
America/St_Thomas,America/St_Thomas(UTC-04:00),UTC-04:00
America/St_Vincent,America/St_Vincent(UTC-04:00),UTC-04:00
America/Tortola,America/Tortola(UTC-04:00),UTC-04:00
Etc/GMT+4,Etc/GMT+4(UTC-04:00),UTC-04:00
America/Santiago,America/Santiago(UTC-04:00),UTC-04:00
Antarctica/Palmer,Antarctica/Palmer(UTC-04:00),UTC-04:00
America/St_Johns,America/St_Johns(UTC-03:30),UTC-03:30
America/Sao_Paulo,America/Sao_Paulo(UTC-03:00),UTC-03:00
America/Argentina/La_Rioja,America/Argentina/La_Rioja(UTC-03:00),UTC-03:00
America/Argentina/Rio_Gallegos,America/Argentina/Rio_Gallegos(UTC-03:00),UTC-03:00
America/Argentina/Salta,America/Argentina/Salta(UTC-03:00),UTC-03:00
America/Argentina/San_Juan,America/Argentina/San_Juan(UTC-03:00),UTC-03:00
America/Argentina/San_Luis,America/Argentina/San_Luis(UTC-03:00),UTC-03:00
America/Argentina/Tucuman,America/Argentina/Tucuman(UTC-03:00),UTC-03:00
America/Argentina/Ushuaia,America/Argentina/Ushuaia(UTC-03:00),UTC-03:00
America/Buenos_Aires,America/Buenos_Aires(UTC-03:00),UTC-03:00
America/Catamarca,America/Catamarca(UTC-03:00),UTC-03:00
America/Cordoba,America/Cordoba(UTC-03:00),UTC-03:00
America/Jujuy,America/Jujuy(UTC-03:00),UTC-03:00
America/Mendoza,America/Mendoza(UTC-03:00),UTC-03:00
America/Araguaina,America/Araguaina(UTC-03:00),UTC-03:00
America/Belem,America/Belem(UTC-03:00),UTC-03:00
America/Cayenne,America/Cayenne(UTC-03:00),UTC-03:00
America/Fortaleza,America/Fortaleza(UTC-03:00),UTC-03:00
America/Maceio,America/Maceio(UTC-03:00),UTC-03:00
America/Paramaribo,America/Paramaribo(UTC-03:00),UTC-03:00
America/Recife,America/Recife(UTC-03:00),UTC-03:00
America/Santarem,America/Santarem(UTC-03:00),UTC-03:00
Antarctica/Rothera,Antarctica/Rothera(UTC-03:00),UTC-03:00
Atlantic/Stanley,Atlantic/Stanley(UTC-03:00),UTC-03:00
Etc/GMT+3,Etc/GMT+3(UTC-03:00),UTC-03:00
America/Godthab,America/Godthab(UTC-03:00),UTC-03:00
America/Montevideo,America/Montevideo(UTC-03:00),UTC-03:00
America/Bahia,America/Bahia(UTC-03:00),UTC-03:00
America/Noronha,America/Noronha(UTC-02:00),UTC-02:00
Atlantic/South_Georgia,Atlantic/South_Georgia(UTC-02:00),UTC-02:00
Etc/GMT+2,Etc/GMT+2(UTC-02:00),UTC-02:00
America/Scoresbysund,America/Scoresbysund(UTC-01:00),UTC-01:00
Atlantic/Azores,Atlantic/Azores(UTC-01:00),UTC-01:00
Atlantic/Cape_Verde,Atlantic/Cape_Verde(UTC-01:00),UTC-01:00
Etc/GMT+1,Etc/GMT+1(UTC-01:00),UTC-01:00
Africa/Casablanca,Africa/Casablanca(UTC),UTC
Africa/El_Aaiun,Africa/El_Aaiun(UTC),UTC
America/Danmarkshavn,America/Danmarkshavn(UTC),UTC
Etc/GMT,Etc/GMT(UTC),UTC
Europe/Isle_of_Man,Europe/Isle_of_Man(UTC),UTC
Europe/Guernsey,Europe/Guernsey(UTC),UTC
Europe/Jersey,Europe/Jersey(UTC),UTC
Europe/Isle_of_Man,Europe/Isle_of_Man(UTC+01:00),UTC+01:00
Europe/Guernsey,Europe/Guernsey(UTC+01:00),UTC+01:00
Europe/Jersey,Europe/Jersey(UTC+01:00),UTC+01:00
Europe/London,Europe/London(UTC+01:00),UTC+01:00
Atlantic/Canary,Atlantic/Canary(UTC),UTC
Atlantic/Faeroe,Atlantic/Faeroe(UTC),UTC
Atlantic/Madeira,Atlantic/Madeira(UTC),UTC
Europe/Dublin,Europe/Dublin(UTC),UTC
Europe/Lisbon,Europe/Lisbon(UTC),UTC
Africa/Abidjan,Africa/Abidjan(UTC),UTC
Africa/Accra,Africa/Accra(UTC),UTC
Africa/Bamako,Africa/Bamako(UTC),UTC
Africa/Banjul,Africa/Banjul(UTC),UTC
Africa/Bissau,Africa/Bissau(UTC),UTC
Africa/Conakry,Africa/Conakry(UTC),UTC
Africa/Dakar,Africa/Dakar(UTC),UTC
Africa/Freetown,Africa/Freetown(UTC),UTC
Africa/Lome,Africa/Lome(UTC),UTC
Africa/Monrovia,Africa/Monrovia(UTC),UTC
Africa/Nouakchott,Africa/Nouakchott(UTC),UTC
Africa/Ouagadougou,Africa/Ouagadougou(UTC),UTC
Africa/Sao_Tome,Africa/Sao_Tome(UTC),UTC
Atlantic/Reykjavik,Atlantic/Reykjavik(UTC),UTC
Atlantic/St_Helena,Atlantic/St_Helena(UTC),UTC
Arctic/Longyearbyen,Arctic/Longyearbyen(UTC+01:00),UTC+01:00
Europe/Amsterdam,Europe/Amsterdam(UTC+01:00),UTC+01:00
Europe/Andorra,Europe/Andorra(UTC+01:00),UTC+01:00
Europe/Berlin,Europe/Berlin(UTC+01:00),UTC+01:00
Europe/Busingen,Europe/Busingen(UTC+01:00),UTC+01:00
Europe/Gibraltar,Europe/Gibraltar(UTC+01:00),UTC+01:00
Europe/Luxembourg,Europe/Luxembourg(UTC+01:00),UTC+01:00
Europe/Malta,Europe/Malta(UTC+01:00),UTC+01:00
Europe/Monaco,Europe/Monaco(UTC+01:00),UTC+01:00
Europe/Oslo,Europe/Oslo(UTC+01:00),UTC+01:00
Europe/Rome,Europe/Rome(UTC+01:00),UTC+01:00
